Id,Label,Cluster,Category
139,Men's Jackson Glacier Rain Jacket,0,Men'sMen's > Shop by CategoryShop by Category > Jackets & VestsMen's Jackets & Vests > Men's Jackson Glacier Rain Jacket
140,Men's Jackson Glacier Jacket,0,Men'sMen's > Shop by CategoryShop by Category > Jackets & VestsMen's Jackets & Vests > Men's Jackson Glacier Jacket
141,Men's Jackson Glacier Parka,0,Men'sMen's > Shop by CategoryShop by Category > Jackets & VestsMen's Jackets & Vests > Parkas & CoatsMen's Parkas & Coats > Men's Jackson Glacier Parka
142,"Men's Landfarer Bike Shorts - 13""",0,"Men'sMen's > Shop by CategoryShop by Category > BottomsBottoms > ShortsMen's Shorts > Men's Landfarer Bike Shorts - 13"""
143,Men's Light Gust Jacket,0,Men'sMen's > Shop by CategoryShop by Category > Jackets & VestsMen's Jackets & Vests > CasualCasual Jackets > Men's Light Gust Jacket
144,Men's Light Gust Shirt Jacket,0,Men'sMen's > Shop by CategoryShop by Category > Jackets & VestsMen's Jackets & Vests > CasualCasual Jackets > Men's Light Gust Shirt Jacket
145,Men's Light Gust Vest,0,Men'sMen's > Shop by CategoryShop by Category > Jackets & VestsMen's Jackets & Vests > CasualCasual Jackets > Men's Light Gust Vest
146,Men's Daily Pocket Tee,2,Men'sMen's > Shop by CategoryShop by Category > TopsTops > Short SleeveShort Sleeve > Men's Daily Pocket Tee
147,Men's Lightweight Insulated Fjord Flannel Shirt,1,
148,Men's Lightweight Stormshadow Jacket,0,Men'sMen's > Shop by CategoryShop by Category > Jackets & VestsMen's Jackets & Vests > Parkas & CoatsMen's Parkas & Coats > Men's Lightweight Stormshadow Jacket
149,Men's Lightweight Synchilla® Snap-T® Fleece Pullover,1,Men'sMen's > Shop by CategoryShop by Category > FleeceMen's Fleece > PulloversPullovers > Men's Lightweight Synchilla® Snap-T® Fleece Pullover
150,Men's Lightweight Unity Fitz Wildrise Crewneck,2,Men'sMen's > Shop by CategoryShop by Category > FleeceMen's Fleece > Men's Lightweight Unity Fitz Wildrise Crewneck
151,Men's Long-Sleeved Berm Logo Responsibili-Tee®,2,Men'sMen's > Shop by CategoryShop by Category > TopsTops > T-ShirtsMen's T-shirts > Long SleeveLong Sleeve Tees > Men's Long-Sleeved Berm Logo Responsibili-Tee®
152,Men's Long-Sleeved Capilene® Cool Daily Graphic Shirt - Lands,1,Men'sMen's > Shop by CategoryShop by Category > TopsTops > Long SleeveLong Sleeve > Men's Long-Sleeved Capilene® Cool Daily Graphic Shirt - Lands
